number,status
489.50888199376095,1
487.46480583823114,1
497.3435155880324,1
496.672455345275,1
500.6911394185681,1
355.3052837250048,1
359.44687637859465,1
361.58846903218443,1
364.2300616857742,1
365.65926535897927,1
366.2300616857742,1
365.7300616857742,1
367.871654339364,1
369.371654339364,1
367.371654339364,1
370.5132469929538,1
372.0132469929538,1
372.0840433197487,1
374.5132469929538,1
373.65483964654356,1
376.0132469929538,1
377.65483964654356,1
378.79643230013335,1
380.15483964654356,1
380.7964323001334,1
382.29643230013335,1
383.79643230013335,1
384.1745901328033,1
385.35985887145756,1
386.93565190186314,1
386.87846094344513,1
388.36338033758966,1
389.36338033758966,1
390.2489984207538,1
391.6295293052837,1
390.5088212805181,1
393.8383063245128,1
393.01006018981366,1
394.65041393410786,1
396.72121026090275,1
395.4377886255402,1
395.0472643337889,1
399.0844684777642,1
399.36042986263254,1
400.74096074716243,1
400.86280291449253,1
399.02727751934617,1
397.03727092656754,1
405.5729093380407,1
405.43483815058306,1
407.4557480866909,1
408.19608090968995,1
409.1623982318468,1
410.1287155540036,1
410.818890501245,1
411.5092464385336,1
411.3711752510758,1
414.2064643180392,1
409.9720291285692,1
411.8044475214673,1
413.74759637837457,1
417.80972972066536,1
418.41190086118314,1
419.24032798592935,1
421.35395148962107,1
420.08763282864686,1
423.1092997307358,1
420.4827876830016,1
421.3374505891821,1
426.5912468772921,1
421.79011237768145,1
421.4491050051584,1
423.00852324297114,1
423.66340611321687,1
424.643574787145,1
424.27512226684945,1
429.75442825311245,1
431.1577339539351,1
433.0980149875784,1
435.8821987249583,1
437.49224874076725,1
431.90571607775905,1
439.6491029902596,1
440.1895690925619,1
441.8969960352175,1
442.99569329052486,1
443.99569329052486,1
444.4397833528552,1
445.1286161744853,1
445.5677380649983,1
447.27229272688294,1
448.60865589100337,1
448.17699335766395,1
449.99364194043176,1
449.16105187053347,1
450.2190590397719,1
450.77371940046453,1
454.93047166377403,1
450.5540842853867,1
451.6283093026492,1
448.76408346691426,1
458.30485580536913,1
459.49507660677625,1
459.5114946098288,1
460.9530333350508,1
462.0407423875862,1
463.88651488520406,1
464.77168766541433,1
465.4805800448943,1
461.6077339658318,1
467.2110152300086,1
467.5414172490258,1
469.45411478564375,1
470.7135600995028,1
471.9201891218475,1
471.544963050714,1
469.7606197275576,1
474.62695003377684,1
474.4722322275449,1
475.4517567036493,1
475.5149691701046,1
475.4185061568534,1
479.51188821609514,1
478.9909824535837,1
477.75877411796085,1
476.48654298814307,1
476.64046490713025,1
481.51188821609514,1
485.96728680770326,1
477.7545560337423,1
478.7478167452029,1
480.7952474468149,1
489.16105053136744,1
490.9813315818902,1
491.7449133127611,1
491.2232695205694,1
491.92332290094964,1
494.97840091554457,1
494.00414278284364,1
496.0002669537362,1
496.23552655344605,1
491.26112311005454,1
499.318115034357,1
500.03943852652253,1
500.2172028952608,1
501.56050436236353,1
502.2902254660731,1
502.3020652463873,1
498.37513435382056,1
506.75788982400974,1
506.7753922642076,1
504.0713728024212,1
501.4332933571414,1
504.6853916760282,1
511.1251236349651,1
511.8346926452957,1
512.7354201818105,1
512.8758064932351,1
513.8428798471448,1
511.07542517787437,1
514.0354087809117,1
514.613860674626,1
519.9822280582645,1
519.7439235466496,1
517.798589896485,1
518.6684132805838,1
523.1519713958165,1
524.772439150625,1
525.1080757795913,1
526.392486069634,1
526.1524104276083,1
528.2600921395402,1
520.7638784455064,1
530.6331806282337,1
522.6286398389944,1
532.7792098926088,1
532.2741782243625,1
534.2867520761588,1
535.8836829786828,1
536.6424028606357,1
530.5646430405809,1
531.264344569519,1
530.4235577781878,1
531.819149602988,1
535.56183584049,1
538.0839466354901,1
543.2623581731691,1
541.9560328972233,1
540.0399125669198,1
541.074038741967,1
542.8038621989971,1
542.6230333469965,1
544.1600655555156,1
545.9043789603702,1
548.288672659864,1
547.2768576925326,1
548.8418448528669,1
549.6461981656483,1
547.509809612128,1
553.6170770406577,1
554.176185280295,1
551.0021896813298,1
